date,ticker,value
2002-11-14,dow,8542.1298828125
2002-11-15,dow,8579.08984375
2002-11-18,dow,8486.5703125
2002-11-19,dow,8474.7802734375
2002-11-20,dow,8623.009765625
2002-11-21,dow,8845.150390625
2002-11-22,dow,8804.83984375
2002-11-25,dow,8849.400390625
2002-11-26,dow,8676.419921875
2002-11-27,dow,8931.6796875
2002-11-29,dow,8896.08984375
2002-12-02,dow,8862.5703125
2002-12-03,dow,8742.9296875
2002-12-04,dow,8737.849609375
2002-12-05,dow,8623.2802734375
2002-12-06,dow,8645.76953125
2002-12-09,dow,8473.41015625
2002-12-10,dow,8574.259765625
2002-12-11,dow,8589.1396484375
2002-12-12,dow,8538.400390625
2002-12-13,dow,8433.7099609375
2002-12-16,dow,8627.400390625
2002-12-17,dow,8535.3896484375
2002-12-18,dow,8447.349609375
2002-12-19,dow,8364.7998046875
2002-12-20,dow,8511.3203125
2002-12-23,dow,8493.2900390625
2002-12-24,dow,8448.1103515625
2002-12-26,dow,8432.6103515625
2002-12-27,dow,8303.7802734375
2002-12-30,dow,8332.849609375
2002-12-31,dow,8341.6298828125
2003-01-02,dow,8607.51953125
2003-01-03,dow,8601.6904296875
2003-01-06,dow,8773.5703125
2003-01-07,dow,8740.58984375
2003-01-08,dow,8595.3095703125
2003-01-09,dow,8776.1796875
2003-01-10,dow,8784.8896484375
2003-01-13,dow,8785.98046875
2003-01-14,dow,8842.6201171875
2003-01-15,dow,8723.1796875
2003-01-16,dow,8697.8701171875
2003-01-17,dow,8586.740234375
2003-01-21,dow,8442.900390625
2003-01-22,dow,8318.73046875
2003-01-23,dow,8369.4697265625
2003-01-24,dow,8131.009765625
2003-01-27,dow,7989.56005859375
2003-01-28,dow,8088.83984375
2003-01-29,dow,8110.7099609375
2003-01-30,dow,7945.1298828125
2003-01-31,dow,8053.81005859375
2003-02-03,dow,8109.81982421875
2003-02-04,dow,8013.2900390625
2003-02-05,dow,7985.18017578125
2003-02-06,dow,7929.2998046875
